bgcolor,id,name,cymk,rgb_percentage,hex,rgb_values
BD9244,RAL_290-2,RAL 290-2,"[12, 48, 90, 20]","[5, 40, 90, 5]",#BD9244,"[189, 146, 68]"
D3B666,RAL_290-3,RAL 290-3,"[16, 32, 70, 0]","[5, 20, 70, 0]",#D3B666,"[211, 182, 102]"
C89F2A,RAL_290-4,RAL 290-4,"[22, 47, 100, 10]","[0, 20, 100, 5]",#C89F2A,"[200, 159, 42]"
E0BE48,RAL_290-5,RAL 290-5,"[12, 32, 90, 0]","[0, 12, 90, 5]",#E0BE48,"[224, 190, 72]"
F6B919,RAL_290-6,RAL 290-6,"[0, 36, 100, 0]","[0, 20, 100, 0]",#F6B919,"[246, 185, 25]"
B99044,RAL_290-M,RAL 290-M,"[0, 43, 90, 25]","[0, 30, 100, 15]",#B99044,"[185, 144, 68]"
F1DEB8,RAL_310-1,RAL 310-1,"[0, 15, 36, 0]","[0, 8, 20, 0]",#F1DEB8,"[241, 222, 184]"
E6CC9C,RAL_310-2,RAL 310-2,"[4, 27, 45, 0]","[0, 10, 20, 0]",#E6CC9C,"[230, 204, 156]"
DBB779,RAL_310-3,RAL 310-3,"[0, 32, 60, 5]","[0, 20, 60, 0]",#DBB779,"[219, 183, 121]"
CD9F5E,RAL_310-4,RAL 310-4,"[0, 44, 80, 15]","[0, 30, 60, 5]",#CD9F5E,"[205, 159, 94]"
B8864B,RAL_310-5,RAL 310-5,"[17, 60, 90, 11]","[0, 40, 100, 13]",#B8864B,"[184, 134, 75]"
8F6538,RAL_310-6,RAL 310-6,"[0, 62, 90, 50]","[0, 45, 90, 20]",#8F6538,"[143, 101, 56]"
B68D60,RAL_310-M,RAL 310-M,"[22, 58, 80, 10]","[10, 50, 90, 5]",#B68D60,"[182, 141, 96]"
CEB673,RAL_320-1,RAL 320-1,"[11, 33, 70, 10]","[0, 10, 60, 10]",#CEB673,"[206, 182, 115]"
AD8B58,RAL_320-2,RAL 320-2,"[0, 43, 70, 30]","[10, 40, 100, 10]",#AD8B58,"[173, 139, 88]"
B49053,RAL_320-3,RAL 320-3,"[13, 47, 80, 15]","[5, 35, 100, 10]",#B49053,"[180, 144, 83]"
9D703D,RAL_320-4,RAL 320-4,"[13, 63, 90, 40]","[0, 43, 100, 25]",#9D703D,"[157, 112, 61]"
81583B,RAL_320-5,RAL 320-5,"[0, 72, 90, 60]","[0, 50, 100, 40]",#81583B,"[129, 88, 59]"
735036,RAL_320-6,RAL 320-6,"[42, 83, 100, 50]","[0, 55, 100, 40]",#735036,"[115, 80, 54]"
