bgcolor,name,value1,value2,value3,value4,hex,r,g,b
F4802A,NCS S 1060-Y40R,0,59,85,0,#F4802A,244,128,42
F07800,NCS S 1070-Y40R,0,61,95,0,#F07800,240,120,0
EC6200,NCS S 1080-Y40R,0,70,100,0,#EC6200,236,98,0
E6DAC2,NCS S 1505-Y40R,0,6,20,11,#E6DAC2,230,218,194
E7CDAC,NCS S 1510-Y40R,0,15,30,10,#E7CDAC,231,205,172
F1CC9D,NCS S 1515-Y40R,0,20,40,5,#F1CC9D,241,204,157
D2C4B0,NCS S 2005-Y40R,0,9,20,20,#D2C4B0,210,196,176
CDB089,NCS S 2010-Y40R,0,19,39,20,#CDB089,205,176,137
D5A576,NCS S 2020-Y40R,0,30,50,15,#D5A576,213,165,118
DC985F,NCS S 2030-Y40R,0,41,62,10,#DC985F,220,152,95
E68D4D,NCS S 2040-Y40R,0,50,70,5,#E68D4D,230,141,77
E28037,NCS S 2050-Y40R,0,55,80,5,#E28037,226,128,55
D1641A,NCS S 2060-Y40R,0,64,90,10,#D1641A,209,100,26
D65800,NCS S 2070-Y40R,0,70,100,10,#D65800,214,88,0
C65100,NCS S 2570-Y40R,0,70,100,18,#C65100,198,81,0
B8A183,NCS S 3010-Y40R,0,17,35,30,#B8A183,184,161,131
B88F66,NCS S 3020-Y40R,0,30,50,27,#B88F66,184,143,102
B57747,NCS S 3030-Y40R,0,45,65,25,#B57747,181,119,71
BA6A37,NCS S 3040-Y40R,0,55,75,20,#BA6A37,186,106,55
B9602C,NCS S 3050-Y40R,0,60,80,20,#B9602C,185,96,44
BD4C00,NCS S 3060-Y40R,0,70,98,22,#BD4C00,189,76,0
A34000,NCS S 3560-Y40R,0,70,100,35,#A34000,163,64,0
996B44,NCS S 4020-Y40R,0,40,60,40,#996B44,153,107,68
9F5D34,NCS S 4030-Y40R,0,52,70,35,#9F5D34,159,93,52
944B1F,NCS S 4040-Y40R,0,60,80,40,#944B1F,148,75,31
943804,NCS S 4050-Y40R,0,70,90,40,#943804,148,56,4
853000,NCS S 4550-Y40R,0,72,100,50,#853000,133,48,0
85573B,NCS S 5020-Y40R,0,45,58,50,#85573B,133,87,59
834D28,NCS S 5030-Y40R,0,51,71,50,#834D28,131,77,40
7A2B00,NCS S 5040-Y40R,0,70,90,54,#7A2B00,122,43,0
703D21,NCS S 6020-Y40R,0,55,70,60,#703D21,112,61,33
5E280E,NCS S 6030-Y40R,0,65,80,68,#5E280E,94,40,14
441E06,NCS S 7020-Y40R,0,64,80,80,#441E06,68,30,6
FFF3DB,NCS S 0505-Y50R,0,6,18,0,#FFF3DB,255,243,219
FFECD4,NCS S 0510-Y50R,0,10,20,0,#FFECD4,255,236,212
FFE2BA,NCS S 0515-Y50R,0,15,32,0,#FFE2BA,255,226,186
FFD0A5,NCS S 0520-Y50R,0,24,38,0,#FFD0A5,255,208,165
FFBB86,NCS S 0530-Y50R,0,34,49,0,#FFBB86,255,187,134
FEA66A,NCS S 0540-Y50R,0,44,59,0,#FEA66A,254,166,106
